"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%","FIP","BABIP"
39,"Miles Mikolas",1,1,0,0,6.33,25,28,65,93,0,0.00,0,0.00,0.00,3,3,0,6,0,0,0.00,4.26,0.00,8.53,0,0,0,0,0.947,0.240,0.240,6,10,16,9,0.640,2.153,0.273
27,"Andrew Kittredge",1,0,0,0,1.33,4,4,13,17,0,0.00,0,0.00,0.00,1,0,1,0,0,0,0.00,6.75,0.00,0.00,0,0,0,0,0.000,0.000,0.000,1,2,2,2,0.500,1.600,0.000
59,"JoJo Romero",1,0,0,0,1.33,5,9,10,19,0,0.00,0,0.00,0.00,0,0,0,2,0,0,0.00,0.00,0.00,13.50,0,0,0,0,1.500,0.400,0.400,3,0,2,3,0.400,3.100,0.400
"","TOTALS",1,1,0,0,9.00,34,41,88,129,0,0.00,0,0.00,0.00,4,3,1,8,0,0,0.00,4.00,0.00,8.00,0,0,0,0,0.889,0.235,0.235,10,12,20,14,0.588,2.211,0.267
